,name,code,year-month,day,NO<sub>2,SO<sub>2,PM2.5,PM10,O<sub>3,CO
0,AlexanderKazbegiave.,KZBG,2016-08,26,*,2.04,*,*,86.12,6.14
1,AlexanderKazbegiave.,KZBG,2016-08,27,*,2.04,19.53,45.06,107.88,6.12
2,AlexanderKazbegiave.,KZBG,2016-08,28,*,1.58,16.93,35.68,101.38,5.64
3,AlexanderKazbegiave.,KZBG,2016-08,29,*,1.48,16.59,37.33,90.43,4.22
4,AlexanderKazbegiave.,KZBG,2016-08,30,*,71.25,21.10,44.45,83.12,8.12
5,AlexanderKazbegiave.,KZBG,2016-08,31,*,1.29,19.58,44.89,100.25,4.64
6,AkakiTsereteliave.105,TSRT,2016-08,25,66.79,7.17,*,*,48.00,8.78
7,AkakiTsereteliave.105,TSRT,2016-08,26,76.29,7.96,21.40,55.69,51.62,10.75
8,AkakiTsereteliave.105,TSRT,2016-08,27,54.08,6.38,24.65,58.52,70.62,9.78
9,AkakiTsereteliave.105,TSRT,2016-08,28,49.33,5.88,18.96,45.24,69.62,6.60
10,AkakiTsereteliave.105,TSRT,2016-08,29,61.05,77.82,22.27,51.97,53.17,13.35
11,AkakiTsereteliave.105,TSRT,2016-08,30,64.55,6.09,23.99,61.01,47.12,10.65
12,AkakiTsereteliave.105,TSRT,2016-08,31,57.09,6.26,21.18,64.06,75.14,8.72
13,Varketili,VRKT,2016-08,28,15.96,4.08,17.05,37.35,*,3.51
14,Varketili,VRKT,2016-08,29,17.57,3.65,16.18,37.16,*,3.34
15,Varketili,VRKT,2016-08,30,20.17,3.96,16.34,41.96,*,4.30
16,Varketili,VRKT,2016-08,31,28.62,67.42,23.89,62.59,*,9.88
17,AlexanderKazbegiave.,KZBG,2016-09,14,*,1.42,*,*,55.50,0.56
18,AlexanderKazbegiave.,KZBG,2016-09,15,*,1.29,12.78,28.45,57.00,0.54
19,AlexanderKazbegiave.,KZBG,2016-09,16,*,1.54,12.14,25.41,63.25,0.68
20,AlexanderKazbegiave.,KZBG,2016-09,17,*,1.58,13.66,26.46,65.62,0.61
21,AlexanderKazbegiave.,KZBG,2016-09,18,*,1.96,10.76,22.05,73.12,0.49
22,AlexanderKazbegiave.,KZBG,2016-09,19,*,2.21,9.55,20.80,67.62,0.57
23,AlexanderKazbegiave.,KZBG,2016-09,20,*,38.42,13.84,30.78,89.25,0.76
24,AlexanderKazbegiave.,KZBG,2016-09,21,*,2.46,17.12,38.46,68.25,0.68
25,AlexanderKazbegiave.,KZBG,2016-09,22,*,2.17,11.01,27.55,54.88,0.72
26,AlexanderKazbegiave.,KZBG,2016-09,23,*,2.29,10.28,22.14,27.50,0.72
27,AlexanderKazbegiave.,KZBG,2016-09,24,*,2.29,8.05,17.83,70.38,0.70
28,AlexanderKazbegiave.,KZBG,2016-09,25,*,2.88,7.91,16.93,65.38,0.44
29,AlexanderKazbegiave.,KZBG,2016-09,26,*,2.62,8.53,17.57,56.62,0.51
30,AlexanderKazbegiave.,KZBG,2016-09,27,*,39.08,9.81,21.61,57.38,0.64
31,AlexanderKazbegiave.,KZBG,2016-09,28,*,2.88,9.86,21.86,63.00,0.51
32,AlexanderKazbegiave.,KZBG,2016-09,29,*,2.79,9.06,23.78,68.62,0.53
33,AlexanderKazbegiave.,KZBG,2016-09,30,*,4.04,10.40,25.72,65.62,0.50
34,AkakiTsereteliave.105,TSRT,2016-09,13,57.29,9.21,21.87,50.55,42.62,1.30
35,AkakiTsereteliave.105,TSRT,2016-09,14,55.96,9.67,21.74,47.45,33.75,1.24
36,AkakiTsereteliave.105,TSRT,2016-09,15,57.38,8.83,18.46,40.42,35.12,1.44
37,AkakiTsereteliave.105,TSRT,2016-09,16,59.08,8.17,21.55,51.99,38.62,1.65
38,AkakiTsereteliave.105,TSRT,2016-09,17,62.04,9.29,22.05,53.55,34.50,1.62
39,AkakiTsereteliave.105,TSRT,2016-09,18,45.21,29.88,15.92,36.73,61.88,1.07
40,AkakiTsereteliave.105,TSRT,2016-09,19,69.29,61.75,16.44,34.33,36.25,1.68
41,AkakiTsereteliave.105,TSRT,2016-09,20,83.92,11.88,25.91,59.35,31.88,1.73
42,AkakiTsereteliave.105,TSRT,2016-09,21,75.67,10.92,28.40,67.39,33.00,1.50
43,AkakiTsereteliave.105,TSRT,2016-09,22,52.54,9.33,16.18,45.08,51.00,1.04
44,AkakiTsereteliave.105,TSRT,2016-09,23,58.29,10.38,17.25,46.48,24.50,2.26
45,AkakiTsereteliave.105,TSRT,2016-09,24,41.21,9.54,16.04,44.96,65.12,1.65
46,AkakiTsereteliave.105,TSRT,2016-09,25,38.38,10.62,12.19,34.31,43.00,0.82
47,AkakiTsereteliave.105,TSRT,2016-09,26,51.83,48.17,14.33,36.90,37.38,1.12
48,AkakiTsereteliave.105,TSRT,2016-09,27,54.00,12.75,14.17,40.18,45.62,1.59
49,AkakiTsereteliave.105,TSRT,2016-09,28,47.00,10.58,14.91,41.57,50.50,1.41
50,AkakiTsereteliave.105,TSRT,2016-09,29,46.17,9.96,15.17,53.47,57.12,1.31
51,AkakiTsereteliave.105,TSRT,2016-09,30,50.88,12.25,16.75,47.27,46.75,1.70
52,Varketili,VRKT,2016-09,13,24.46,5.42,16.91,33.52,*,0.78
53,Varketili,VRKT,2016-09,14,20.29,36.71,18.69,34.35,*,0.80
54,Varketili,VRKT,2016-09,15,14.58,1.92,10.18,20.27,*,0.24
55,Varketili,VRKT,2016-09,16,26.88,1.88,9.84,18.28,*,0.54
56,Varketili,VRKT,2016-09,17,13.50,2.08,13.66,25.22,*,0.53
57,Varketili,VRKT,2016-09,18,13.42,2.21,8.79,16.57,*,0.21
58,Varketili,VRKT,2016-09,19,30.83,2.62,8.52,16.15,*,0.90
59,Varketili,VRKT,2016-09,20,31.71,3.42,15.14,28.70,*,0.90
60,Varketili,VRKT,2016-09,21,32.96,37.38,20.59,41.66,*,1.31
61,Varketili,VRKT,2016-09,22,22.67,2.25,9.01,20.86,*,0.47
62,Varketili,VRKT,2016-09,23,28.92,3.92,10.65,19.60,*,0.61
63,Varketili,VRKT,2016-09,24,9.75,5.25,6.72,13.21,*,0.39
64,Varketili,VRKT,2016-09,25,12.67,6.92,6.09,12.34,*,0.25
65,Varketili,VRKT,2016-09,26,20.46,7.83,7.62,13.75,*,0.45
66,Varketili,VRKT,2016-09,27,12.74,4.83,8.67,18.05,*,0.44
67,Varketili,VRKT,2016-09,28,11.88,35.50,7.12,15.45,*,0.46
68,Varketili,VRKT,2016-09,29,11.92,1.83,6.17,15.81,*,0.24
69,Varketili,VRKT,2016-09,30,13.61,3.74,7.63,17.00,*,0.24
70,AlexanderKazbegiave.,KZBG,2016-10,01,*,2.83,9.67,21.69,57.25,0.57
71,AlexanderKazbegiave.,KZBG,2016-10,02,*,2.83,13.17,27.57,59.25,0.54
72,AlexanderKazbegiave.,KZBG,2016-10,03,*,3.25,15.16,32.94,62.00,0.62
73,AlexanderKazbegiave.,KZBG,2016-10,04,*,39.29,16.70,34.76,56.50,0.85
74,AlexanderKazbegiave.,KZBG,2016-10,05,*,3.21,19.19,38.81,63.25,0.69
75,AlexanderKazbegiave.,KZBG,2016-10,06,*,4.04,19.84,41.88,53.50,0.72
76,AlexanderKazbegiave.,KZBG,2016-10,07,*,3.33,21.56,47.43,56.88,0.74
77,AlexanderKazbegiave.,KZBG,2016-10,08,*,3.71,22.43,44.70,69.00,0.66
78,AlexanderKazbegiave.,KZBG,2016-10,09,*,3.71,26.40,52.90,76.25,0.71
79,AlexanderKazbegiave.,KZBG,2016-10,10,*,4.04,20.97,51.32,66.12,0.51
80,AlexanderKazbegiave.,KZBG,2016-10,11,*,39.79,12.40,33.52,47.75,0.89
81,AlexanderKazbegiave.,KZBG,2016-10,12,*,3.62,21.36,44.66,28.38,0.94
82,AlexanderKazbegiave.,KZBG,2016-10,13,*,3.58,14.72,29.07,45.75,0.75
83,AlexanderKazbegiave.,KZBG,2016-10,14,*,3.38,10.18,18.95,54.38,0.61
84,AlexanderKazbegiave.,KZBG,2016-10,15,*,3.38,7.88,18.06,63.12,0.51
85,AlexanderKazbegiave.,KZBG,2016-10,16,*,3.92,7.85,16.10,40.38,0.49
86,AlexanderKazbegiave.,KZBG,2016-10,17,*,3.25,6.39,11.75,47.25,0.61
87,AlexanderKazbegiave.,KZBG,2016-10,18,*,39.71,5.51,9.57,37.25,0.61
88,AlexanderKazbegiave.,KZBG,2016-10,19,*,3.75,*,*,24.38,0.75
89,AlexanderKazbegiave.,KZBG,2016-10,20,*,4.08,17.51,37.68,10.12,0.88
90,AlexanderKazbegiave.,KZBG,2016-10,21,*,5.29,22.28,47.85,3.12,1.21
91,AlexanderKazbegiave.,KZBG,2016-10,22,*,4.54,23.25,48.93,14.25,0.94
92,AlexanderKazbegiave.,KZBG,2016-10,23,*,4.17,13.34,31.63,20.38,0.79
93,AlexanderKazbegiave.,KZBG,2016-10,24,*,4.79,17.90,40.90,13.25,0.82
94,AlexanderKazbegiave.,KZBG,2016-10,25,*,40.46,12.10,24.39,40.00,0.78
95,AlexanderKazbegiave.,KZBG,2016-10,26,*,4.71,6.40,10.23,29.25,0.57
96,AlexanderKazbegiave.,KZBG,2016-10,27,*,4.88,12.16,23.19,16.38,1.05
97,AlexanderKazbegiave.,KZBG,2016-10,28,*,5.71,21.21,47.16,8.38,1.24
98,AlexanderKazbegiave.,KZBG,2016-10,29,*,5.71,36.90,73.67,34.50,1.04
99,AlexanderKazbegiave.,KZBG,2016-10,30,*,4.92,25.48,48.39,19.88,0.86
100,AlexanderKazbegiave.,KZBG,2016-10,31,*,5.00,14.15,30.14,67.75,0.68
101,AkakiTsereteliave.105,TSRT,2016-10,01,53.46,11.54,16.56,38.08,37.38,1.39
102,AkakiTsereteliave.105,TSRT,2016-10,02,61.46,10.38,18.77,42.31,48.38,1.19
103,AkakiTsereteliave.105,TSRT,2016-10,03,63.08,46.62,19.46,44.60,46.50,1.31
104,AkakiTsereteliave.105,TSRT,2016-10,04,60.46,12.29,23.50,53.36,66.62,1.32
105,AkakiTsereteliave.105,TSRT,2016-10,05,66.71,12.50,25.46,58.90,56.88,1.50
106,AkakiTsereteliave.105,TSRT,2016-10,06,70.54,13.71,26.32,61.10,53.88,1.46
107,AkakiTsereteliave.105,TSRT,2016-10,07,76.92,14.29,31.51,74.36,27.25,1.75
108,AkakiTsereteliave.105,TSRT,2016-10,08,66.42,14.88,30.85,73.53,55.75,1.62
109,AkakiTsereteliave.105,TSRT,2016-10,09,61.08,15.25,30.74,71.18,42.75,1.35
110,AkakiTsereteliave.105,TSRT,2016-10,10,50.38,49.75,22.30,62.08,48.88,1.32
111,AkakiTsereteliave.105,TSRT,2016-10,11,51.54,13.58,15.63,43.08,41.75,1.62
112,AkakiTsereteliave.105,TSRT,2016-10,12,45.79,13.17,24.55,64.41,37.25,1.61
113,AkakiTsereteliave.105,TSRT,2016-10,13,51.46,13.42,20.01,43.36,20.75,1.68
114,AkakiTsereteliave.105,TSRT,2016-10,14,44.54,13.29,16.89,35.92,30.38,1.12
115,AkakiTsereteliave.105,TSRT,2016-10,15,52.25,13.88,13.13,38.70,51.12,1.25
116,AkakiTsereteliave.105,TSRT,2016-10,16,52.71,14.04,*,*,33.62,1.49
117,AkakiTsereteliave.105,TSRT,2016-10,17,54.33,48.00,*,*,32.38,2.04
118,AkakiTsereteliave.105,TSRT,2016-10,18,51.08,19.08,*,*,17.50,1.85
119,AkakiTsereteliave.105,TSRT,2016-10,19,33.46,23.88,*,*,29.88,1.12
120,AkakiTsereteliave.105,TSRT,2016-10,20,43.96,12.25,*,*,20.38,1.21
121,AkakiTsereteliave.105,TSRT,2016-10,21,42.96,13.71,29.87,78.57,7.25,1.50
122,AkakiTsereteliave.105,TSRT,2016-10,22,41.33,12.33,25.18,60.20,16.50,1.01
123,AkakiTsereteliave.105,TSRT,2016-10,23,28.71,10.88,14.51,30.95,30.62,0.64
124,AkakiTsereteliave.105,TSRT,2016-10,24,39.67,46.08,17.02,33.04,19.50,0.78
125,AkakiTsereteliave.105,TSRT,2016-10,25,57.04,13.25,18.94,32.90,23.25,2.44
126,AkakiTsereteliave.105,TSRT,2016-10,26,58.38,13.67,20.09,28.88,16.62,1.95
127,AkakiTsereteliave.105,TSRT,2016-10,27,57.17,13.96,24.25,47.75,15.38,1.75
128,AkakiTsereteliave.105,TSRT,2016-10,28,54.46,16.29,37.19,93.22,12.12,2.40
129,AkakiTsereteliave.105,TSRT,2016-10,29,67.42,16.67,44.39,107.44,9.50,1.99
130,AkakiTsereteliave.105,TSRT,2016-10,30,53.58,15.33,35.68,90.18,15.12,1.55
131,AkakiTsereteliave.105,TSRT,2016-10,31,52.46,49.83,19.34,46.88,57.75,0.93
132,Varketili,VRKT,2016-10,01,18.46,2.50,7.62,15.24,*,0.38
133,Varketili,VRKT,2016-10,02,35.29,2.21,13.79,27.46,*,0.62
134,Varketili,VRKT,2016-10,03,48.92,5.08,21.56,43.47,*,1.27
135,Varketili,VRKT,2016-10,04,47.96,5.54,29.46,56.20,*,1.98
136,Varketili,VRKT,2016-10,11,28.04,1.83,*,*,*,0.57
137,Varketili,VRKT,2016-10,12,24.08,38.17,19.65,45.67,*,0.81
138,Varketili,VRKT,2016-10,13,22.38,0.58,14.18,30.27,*,0.38
139,Varketili,VRKT,2016-10,14,15.79,0.79,9.26,17.27,*,0.38
140,Varketili,VRKT,2016-10,15,14.00,1.38,4.96,10.91,*,0.31
141,Varketili,VRKT,2016-10,16,17.96,2.12,4.76,10.23,*,0.31
142,Varketili,VRKT,2016-10,17,24.54,1.50,4.31,8.18,*,0.41
143,Varketili,VRKT,2016-10,18,19.00,1.12,4.60,8.01,*,0.36
144,Varketili,VRKT,2016-10,19,24.25,36.67,7.53,12.36,*,0.57
145,Varketili,VRKT,2016-10,20,31.71,2.29,21.87,44.72,*,0.82
146,Varketili,VRKT,2016-10,21,38.50,2.33,28.06,67.73,*,1.12
147,Varketili,VRKT,2016-10,22,26.96,1.42,19.97,41.84,*,0.65
148,Varketili,VRKT,2016-10,23,26.54,1.92,17.47,30.23,*,0.57
149,Varketili,VRKT,2016-10,24,32.29,1.62,18.68,36.12,*,0.56
150,Varketili,VRKT,2016-10,25,22.75,1.04,14.38,23.48,*,0.51
151,Varketili,VRKT,2016-10,26,29.54,35.88,6.65,9.07,*,0.61
152,Varketili,VRKT,2016-10,27,42.21,2.62,14.77,25.28,*,1.25
153,Varketili,VRKT,2016-10,28,46.88,3.38,26.11,61.97,*,1.62
154,Varketili,VRKT,2016-10,29,32.00,3.38,33.28,68.88,*,0.74
155,Varketili,VRKT,2016-10,30,31.08,1.83,24.91,45.36,*,0.64
156,Varketili,VRKT,2016-10,31,20.42,2.12,12.76,24.87,*,0.49
157,AlexanderKazbegiave.,KZBG,2016-11,01,*,39.54,9.68,21.35,22.12,0.75
158,AlexanderKazbegiave.,KZBG,2016-11,02,*,1.21,*,*,40.00,0.71
159,AlexanderKazbegiave.,KZBG,2016-11,03,*,1.96,*,*,52.75,0.70
160,AlexanderKazbegiave.,KZBG,2016-11,04,*,3.21,*,*,15.12,2.16
161,AlexanderKazbegiave.,KZBG,2016-11,05,*,3.96,*,*,54.75,2.30
162,AlexanderKazbegiave.,KZBG,2016-11,06,*,2.88,*,*,22.75,0.74
163,AlexanderKazbegiave.,KZBG,2016-11,07,*,3.00,*,*,36.38,0.79
164,AlexanderKazbegiave.,KZBG,2016-11,08,*,39.88,*,*,13.38,1.09
165,AlexanderKazbegiave.,KZBG,2016-11,09,*,4.50,*,*,15.25,1.88
166,AlexanderKazbegiave.,KZBG,2016-11,10,*,4.71,*,*,6.75,2.01
167,AlexanderKazbegiave.,KZBG,2016-11,11,*,5.71,38.14,74.80,13.75,2.16
168,AlexanderKazbegiave.,KZBG,2016-11,12,*,4.96,29.62,64.39,24.62,2.30
169,AlexanderKazbegiave.,KZBG,2016-11,13,*,3.92,27.28,54.64,14.88,1.05
170,AlexanderKazbegiave.,KZBG,2016-11,14,*,5.21,28.51,50.76,27.50,0.95
171,AlexanderKazbegiave.,KZBG,2016-11,15,*,40.88,20.08,45.45,48.62,0.72
172,AlexanderKazbegiave.,KZBG,2016-11,16,*,3.33,17.05,34.45,33.88,0.70
173,AlexanderKazbegiave.,KZBG,2016-11,17,*,2.38,9.77,17.79,32.50,0.61
174,AlexanderKazbegiave.,KZBG,2016-11,18,*,2.88,5.89,18.79,46.88,0.59
175,AlexanderKazbegiave.,KZBG,2016-11,19,*,1.88,10.24,25.20,25.38,0.66
176,AlexanderKazbegiave.,KZBG,2016-11,20,*,1.96,22.06,41.82,18.38,0.68
177,AlexanderKazbegiave.,KZBG,2016-11,21,*,4.42,16.13,30.19,28.12,0.55
178,AlexanderKazbegiave.,KZBG,2016-11,22,*,45.58,15.81,30.38,31.88,0.65
179,AlexanderKazbegiave.,KZBG,2016-11,23,*,9.04,19.22,31.14,29.88,0.54
180,AlexanderKazbegiave.,KZBG,2016-11,24,*,8.96,15.47,24.85,33.62,0.60
181,AlexanderKazbegiave.,KZBG,2016-11,25,*,10.17,18.95,28.51,44.00,0.56
182,AlexanderKazbegiave.,KZBG,2016-11,26,*,2.54,34.04,47.02,20.62,1.41
183,AlexanderKazbegiave.,KZBG,2016-11,27,*,0.00,34.53,53.60,9.25,1.43
184,AlexanderKazbegiave.,KZBG,2016-11,28,*,5.88,38.13,59.24,10.88,2.17
185,AlexanderKazbegiave.,KZBG,2016-11,29,*,43.58,39.21,69.18,7.25,3.19
186,AlexanderKazbegiave.,KZBG,2016-11,30,*,17.81,53.94,98.01,*,*
187,AkakiTsereteliave.105,TSRT,2016-11,01,63.08,20.54,17.37,49.69,20.12,2.09
188,AkakiTsereteliave.105,TSRT,2016-11,02,54.00,33.08,26.94,77.10,22.12,1.88
189,AkakiTsereteliave.105,TSRT,2016-11,03,43.67,31.17,20.34,57.26,34.12,1.70
190,AkakiTsereteliave.105,TSRT,2016-11,04,66.75,42.12,31.54,70.40,21.62,3.45
191,AkakiTsereteliave.105,TSRT,2016-11,05,72.21,53.71,54.60,113.09,25.88,5.08
192,AkakiTsereteliave.105,TSRT,2016-11,06,52.25,47.83,31.24,72.69,29.00,1.48
193,AkakiTsereteliave.105,TSRT,2016-11,07,61.25,86.83,34.90,67.35,35.88,1.90
194,AkakiTsereteliave.105,TSRT,2016-11,08,67.71,52.04,49.27,95.34,22.00,2.42
195,AkakiTsereteliave.105,TSRT,2016-11,09,77.29,59.42,61.63,114.34,17.75,4.46
196,AkakiTsereteliave.105,TSRT,2016-11,10,97.92,61.25,87.95,164.44,8.75,5.53
197,AkakiTsereteliave.105,TSRT,2016-11,11,71.17,36.00,83.43,154.79,22.25,4.22
198,AkakiTsereteliave.105,TSRT,2016-11,12,80.04,21.42,68.30,150.60,9.00,5.05
199,AkakiTsereteliave.105,TSRT,2016-11,13,56.67,16.67,45.72,100.59,23.62,2.30
200,AkakiTsereteliave.105,TSRT,2016-11,14,48.88,53.12,39.90,77.01,36.00,2.24
201,AkakiTsereteliave.105,TSRT,2016-11,15,55.88,17.88,27.27,70.67,44.25,1.65
202,AkakiTsereteliave.105,TSRT,2016-11,16,58.83,16.33,29.09,61.99,22.50,2.61
203,AkakiTsereteliave.105,TSRT,2016-11,17,49.33,16.00,22.51,36.90,23.38,2.27
204,AkakiTsereteliave.105,TSRT,2016-11,18,48.71,16.38,14.85,45.56,35.38,1.70
205,AkakiTsereteliave.105,TSRT,2016-11,19,48.12,15.50,19.68,51.97,11.88,1.45
206,AkakiTsereteliave.105,TSRT,2016-11,20,42.71,16.67,24.70,50.44,14.25,0.90
207,AkakiTsereteliave.105,TSRT,2016-11,21,47.90,55.45,20.88,36.86,19.38,1.18
208,AkakiTsereteliave.105,TSRT,2016-11,22,38.21,12.50,20.70,40.76,27.25,1.00
209,AkakiTsereteliave.105,TSRT,2016-11,23,41.58,12.71,21.08,35.79,26.88,0.79
210,AkakiTsereteliave.105,TSRT,2016-11,24,39.04,12.17,20.87,37.14,28.75,0.97
211,AkakiTsereteliave.105,TSRT,2016-11,25,39.29,13.79,*,*,34.00,1.27
212,AkakiTsereteliave.105,TSRT,2016-11,26,66.67,18.12,*,*,15.38,3.02
213,AkakiTsereteliave.105,TSRT,2016-11,27,77.33,18.29,*,*,8.88,3.39
214,AkakiTsereteliave.105,TSRT,2016-11,28,78.25,60.54,*,*,14.75,3.66
215,AkakiTsereteliave.105,TSRT,2016-11,29,89.96,26.38,*,*,9.62,3.92
216,AkakiTsereteliave.105,TSRT,2016-11,30,81.75,29.67,*,*,3.50,2.92
217,Varketili,VRKT,2016-11,01,29.04,2.38,5.95,12.69,*,0.72
218,Varketili,VRKT,2016-11,02,15.88,39.33,8.38,20.16,*,0.70
219,Varketili,VRKT,2016-11,03,31.08,2.62,8.48,17.51,*,1.66
220,Varketili,VRKT,2016-11,04,38.04,4.83,21.09,47.03,*,2.14
221,Varketili,VRKT,2016-11,05,19.54,5.58,12.07,22.04,*,0.44
222,Varketili,VRKT,2016-11,06,33.54,3.21,19.84,32.72,*,0.60
223,Varketili,VRKT,2016-11,07,47.38,4.04,37.35,62.54,*,2.08
224,Varketili,VRKT,2016-11,08,48.29,4.50,36.97,67.29,*,2.26
225,Varketili,VRKT,2016-11,09,58.96,41.50,38.22,64.24,*,2.23
226,Varketili,VRKT,2016-11,10,65.17,5.42,54.30,96.41,*,2.46
227,Varketili,VRKT,2016-11,11,39.79,6.96,47.97,87.11,*,2.01
228,Varketili,VRKT,2016-11,12,41.88,7.00,34.57,62.29,*,1.14
229,Varketili,VRKT,2016-11,13,42.08,2.83,31.65,51.81,*,1.16
230,Varketili,VRKT,2016-11,14,25.04,5.08,32.11,53.14,*,1.24
231,Varketili,VRKT,2016-11,15,19.12,4.25,14.07,24.31,*,0.33
232,Varketili,VRKT,2016-11,16,25.38,0.00,17.81,28.54,*,0.70
233,Varketili,VRKT,2016-11,17,15.33,0.00,8.14,12.85,*,0.45
234,Varketili,VRKT,2016-11,18,14.25,0.00,2.64,7.26,*,0.36
235,Varketili,VRKT,2016-11,19,23.58,0.00,7.03,13.89,*,0.53
236,Varketili,VRKT,2016-11,20,29.83,0.00,22.36,36.26,*,0.57
237,Varketili,VRKT,2016-11,21,28.17,1.67,21.05,31.43,*,0.50
238,Varketili,VRKT,2016-11,22,34.67,6.17,162.70,91.24,*,0.50
239,Varketili,VRKT,2016-11,23,27.83,33.88,538.82,322.38,*,0.51
240,Varketili,VRKT,2016-11,24,26.88,5.50,*,419.29,*,0.44
241,Varketili,VRKT,2016-11,25,27.38,7.46,296.82,178.22,*,0.47
242,Varketili,VRKT,2016-11,26,37.54,9.83,*,301.62,*,0.74
243,Varketili,VRKT,2016-11,27,56.96,10.00,*,507.11,*,1.84
244,Varketili,VRKT,2016-11,28,41.17,10.00,*,709.91,*,1.80
